seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
PB.2.2	PB.2.2_ORF_1	921	+	1	10	627	618	1.0715	0.419474734280932	0.994904113651743
PB.2.1	PB.2.1_ORF_1	2207	+	3	1119	1913	795	1.1873	0.462811501352335	0.999608879923549
PB.2.3	PB.2.3_ORF_4	1853	+	3	771	1067	297	1.2532	0.523991322971082	0.947469831859495
PB.3.1	PB.3.1_ORF_1	143	+	1	1	141	141	1.2367	-0.155576416135923	0.050220186981471
PB.4.2	PB.4.2_ORF_1	247	+	1	109	246	138	1.1559	-0.0464893415789264	0.0694195607482804
PB.4.1	PB.4.1_ORF_2	382	+	3	249	380	132	1.1894	-0.0730496651499886	0.0620437140029691
PB.5.1	PB.5.1_ORF_1	116	+	3	36	116	81	0.9551	-0.0162331691790248	0.0233221966413086
PB.8.1	PB.8.1_ORF_1	129	+	2	74	127	54	0.8422	0.212843715073454	0.0457987070259788
PB.8.2	PB.8.2_ORF_1	192	+	3	72	122	51	1.208	-0.202864193285513	0.0129287045865409
PB.10.1	PB.10.1_ORF_1	1332	+	3	342	833	492	0.9229	0.13022944050749	0.828430242463283
PB.11.1	PB.11.1_ORF_1	2787	+	3	33	2297	2265	1.2976	0.57138724252602	0.999999999989706
PB.11.3	PB.11.3_ORF_1	411	+	3	75	176	102	1.0453	0.236410343052871	0.158166080055705
PB.11.2	PB.11.2_ORF_1	2768	+	2	38	2287	2250	1.2976	0.578364456621897	0.999999999988342
PB.11.4	PB.11.4_ORF_1	1263	+	3	21	788	768	1.2436	0.717283451806961	0.999911646475915
PB.12.1	PB.12.1_ORF_3	755	+	2	26	232	207	1.1882	0.416416969058947	0.744378524111156
PB.14.1	PB.14.1_ORF_1	634	+	3	84	581	498	1.2516	0.656344401577361	0.997541242160371
PB.14.2	PB.14.2_ORF_1	129	+	2	26	76	51	0.7522	0.106551268164549	0.0175423480919952
PB.15.1	PB.15.1_ORF_1	1228	+	2	164	463	300	0.7559	0.125481890836034	0.236439109971362
PB.16.1	PB.16.1_ORF_2	692	+	3	615	671	57	1.0352	0.0721562720420652	0.0383331933093512
PB.17.1	PB.17.1_ORF_1	184	+	3	30	140	111	0.673	-0.0571691441459767	0.00972095739582176
PB.18.1	PB.18.1_ORF_1	1387	+	2	872	1243	372	0.6447	0.149585127443173	0.351475952431044
PB.18.2	PB.18.2_ORF_1	2251	+	3	183	962	780	1.1908	0.251218814374396	0.998347706383737
PB.18.3	PB.18.3_ORF_1	2358	+	1	448	1071	624	1.1822	0.226445256274669	0.988713448103545
PB.18.5	PB.18.5_ORF_1	321	+	2	170	268	99	0.8758	0.0063948569944822	0.0245866327115227
PB.18.4	PB.18.4_ORF_1	1253	+	2	173	952	780	1.1908	0.251218814374396	0.998435555563226
PB.19.1	PB.19.1_ORF_1	909	+	2	692	880	189	0.6102	-0.00552991420326543	0.0242704264480563
PB.20.1	PB.20.1_ORF_1	1311	+	2	104	1015	912	1.2486	0.485184176151534	0.999928895088206
